order,district,x,y,z,rotation,sizeX,sizeY,sizeZ,bboxMinX,bboxMinY,bboxMinZ,bboxMaxX,bboxMaxY,bboxMaxZ,level,connection
17,firstcrusade:manufactorum,-288,0,-288,0,192,64,128,-288,0,-288,-96,64,-160,industrial(0),serviço ↔ carga/hab (poço acima)
18,firstcrusade:hab_stacks,-288,64,-288,0,192,64,128,-288,64,-288,-96,128,-160,habitação(64),transit ↔ manufactorum/admin
19,firstcrusade:administratum,-288,128,-288,0,192,64,128,-288,128,-288,-96,192,-160,administratum(128),processional ↔ hab/spire
20,firstcrusade:manufactorum,-288,0,-96,0,192,64,128,-288,0,-96,-96,64,32,industrial(0),serviço ↔ carga/hab (poço acima)
21,firstcrusade:hab_stacks,-288,64,-96,0,192,64,128,-288,64,-96,-96,128,32,habitação(64),transit ↔ manufactorum/admin
22,firstcrusade:administratum,-288,128,-96,0,192,64,128,-288,128,-96,-96,192,32,administratum(128),processional ↔ hab/spire
23,firstcrusade:manufactorum,-288,0,96,0,192,64,128,-288,0,96,-96,64,224,industrial(0),serviço ↔ carga/hab (poço acima)
24,firstcrusade:hab_stacks,-288,64,96,0,192,64,128,-288,64,96,-96,128,224,habitação(64),transit ↔ manufactorum/admin
25,firstcrusade:administratum,-288,128,96,0,192,64,128,-288,128,96,-96,192,224,administratum(128),processional ↔ hab/spire
26,firstcrusade:manufactorum,-96,0,-288,0,192,64,128,-96,0,-288,96,64,-160,industrial(0),serviço ↔ carga/hab (poço acima)
27,firstcrusade:hab_stacks,-96,64,-288,0,192,64,128,-96,64,-288,96,128,-160,habitação(64),transit ↔ manufactorum/admin
28,firstcrusade:administratum,-96,128,-288,0,192,64,128,-96,128,-288,96,192,-160,administratum(128),processional ↔ hab/spire
29,firstcrusade:manufactorum,-96,0,-96,0,192,64,128,-96,0,-96,96,64,32,industrial(0),serviço ↔ carga/hab (poço acima)
30,firstcrusade:hab_stacks,-96,64,-96,0,192,64,128,-96,64,-96,96,128,32,habitação(64),transit ↔ manufactorum/admin
31,firstcrusade:administratum,-96,128,-96,0,192,64,128,-96,128,-96,96,192,32,administratum(128),processional ↔ hab/spire
32,firstcrusade:manufactorum,-96,0,96,0,192,64,128,-96,0,96,96,64,224,industrial(0),serviço ↔ carga/hab (poço acima)
33,firstcrusade:hab_stacks,-96,64,96,0,192,64,128,-96,64,96,96,128,224,habitação(64),transit ↔ manufactorum/admin
34,firstcrusade:administratum,-96,128,96,0,192,64,128,-96,128,96,96,192,224,administratum(128),processional ↔ hab/spire
35,firstcrusade:manufactorum,96,0,-288,0,192,64,128,96,0,-288,288,64,-160,industrial(0),serviço ↔ carga/hab (poço acima)
36,firstcrusade:hab_stacks,96,64,-288,0,192,64,128,96,64,-288,288,128,-160,habitação(64),transit ↔ manufactorum/admin
37,firstcrusade:administratum,96,128,-288,0,192,64,128,96,128,-288,288,192,-160,administratum(128),processional ↔ hab/spire
38,firstcrusade:manufactorum,96,0,-96,0,192,64,128,96,0,-96,288,64,32,industrial(0),serviço ↔ carga/hab (poço acima)
39,firstcrusade:hab_stacks,96,64,-96,0,192,64,128,96,64,-96,288,128,32,habitação(64),transit ↔ manufactorum/admin
40,firstcrusade:administratum,96,128,-96,0,192,64,128,96,128,-96,288,192,32,administratum(128),processional ↔ hab/spire
41,firstcrusade:manufactorum,96,0,96,0,192,64,128,96,0,96,288,64,224,industrial(0),serviço ↔ carga/hab (poço acima)
42,firstcrusade:hab_stacks,96,64,96,0,192,64,128,96,64,96,288,128,224,habitação(64),transit ↔ manufactorum/admin
43,firstcrusade:administratum,96,128,96,0,192,64,128,96,128,96,288,192,224,administratum(128),processional ↔ hab/spire
44,firstcrusade:spire,-96,192,-96,0,192,64,128,-96,192,-96,96,256,32,spire(192),coroa ↔ administratum
